"alavancagem","capital","ebitida","empregados","fundos","rendimentos","renteco","rentfin","resvendas"
14.566,7239.94698,10.5572295834024,224,84670.79487,330815.50786,25.49,40.036,8.18801782296374
246.293,12926.4885,10.6914481306081,611,24158.673,136077.42,6.471,32.09,4.42029357430158
25.738,120.2,8.05097665074148,236,17416.17369,96829.43207,11.449,27.957,3.75762010185353
47.105,667.5,4.25515025169737,94,10034.57748,61659.58489,4.509,16.101,2.00981588575836
550.281,97.99305,6.54733432162945,712,3367.45008,58028.62508,2.868,22.546,0.774590310695671
153.266,438.31359,4.31617655946746,404,13748.0674,55690.90331,0.241,0.783,0.136730162656354
362.975,949.4,8.45596461933108,41,3199.23094,36505.47896,6.851,42.543,2.84934795785075
248.263,240.40484,13.3812739917937,188,5053.75623,33113.10947,5.958,27.94,3.42248807347908
0.964,252.42,6.97322803973,32,8860.40752,28342.272349,15.559,22.678,5.36915200764104
1579.2,300.5,3.18278946443992,26,559.00247,27057.03189,0.791,20.08,0.314896309525373
144.794,3.01,19.1212974418805,169,7527.79885,25968.6939,5.94,20.408,4.38126021147085
55.258,194.724,2.98389767614876,153,6100.23686,22076.05059,3.686,7.833,1.63428651857119
176.035,1400.68,11.5549799719138,99,4240.0477,17985.478209,3.417,12.561,2.04285403850676
144.484,115.57463,11.6469642815115,91,3138.18008,16916.933739,8.93,29.231,4.12175779530716
323.216,83.1183,12.2988190902586,149,2128.79537,16345.37747,6.626,39.668,3.98709882239981
72.814,396.726,10.7645737012739,23,3516.4276,15738.67423,10.299,28.52,4.89580951617018
78.404,4.9883,8.14968450549923,29,3332.47306,15433.08817,11.52,28.964,4.68081539065355
130.119,72.42051,14.8506777155663,187,3759.86767,15372.46136,10.879,29.811,5.40944258273365
84.983,420.7,9.31862940878964,135,6362.46612,15262.46426,0.849,1.911,1.06280175386464
6.344,673.134,1.34312349665832,10,1654.03747,14901.92025,1.622,5.752,0.486367308272627
39.826,37.75751,2.14133708649567,51,881.34125,12761.16945,4.45,24.301,1.30878595852159
555.585,3.00506,19.2225185849793,80,1283.45803,12581.75376,2.838,23.049,1.71916038377442
3.942,51.085,2.3547079321849,16,1939.33593,11801.23819,5.345,11.429,1.41694610909539
179.694,1640,6.60135400680961,56,2671.13912,10436.28315,0.571,1.996,0.367994310083294
33.565,60.5,1.90380772132327,10,798.93264,10266.25051,3.808,11.611,0.769317312670481
116.334,393.06185,19.2637429253049,56,2713.05857,7449.13646,9.202,24.027,8.07756780684418
168.756,1502.5,8.73051163070021,61,2612.33295,7166.71728,1.811,6.294,2.16403004544001
398.463,102.12145,2.88671062338169,22,426.2482,6894.85024,3.814,25.031,1.11022578487582
46.198,60.2,3.81705727080338,2,867.97992,6775.85655,4.861,20.725,1.987887328109
10.005,60.19999,18.01633094577,29,1289.86381,6568.71222,43.887,76.641,11.2866609469677
52.741,72.1212,10.7366936896359,39,2667.84776,6290.63702,7.141,13.683,4.45607995549577
77.514,83.2385,6.50702765158912,35,1325.00522,5627.2652,3.986,8.503,1.76615459393704
19.216,240.40484,23.5156059785229,35,2843.48912,5537.970909,17.758,25.66,10.0231531728288
515.743,62,9.98120915144638,2,260.26251,5480.7683,3.238,29.138,1.65782114285766
7.564,60,24.8250615875637,60,1893.54869,5330.86591,25.112,44.832,12.1315528974633
6.059,184.45,31.8192143660293,44,6091.191,5323.33577,15.957,18.17,15.7136687814222
2022.607,3.006,7.12852393115926,28,83.00302,5182.139229,1.24,44.757,0.251857510934305
72.405,120.20242,8.90476627100921,44,1260.49912,5138.52556,5.406,12.206,2.46049726855673
206.363,60.31,2.76182608160356,24,420.35934,5003.204899,2.229,17.75,1.13304397418259
111.919,246.41496,9.50815875642179,15,816.83407,4991.07178,7.862,29.668,3.59538519821904
18.905,60.105,2.74920910067327,69,2450.80074,4863.22983,-4.203,-6.113,-2.9501928125617
152.111,63,1.66388622865371,6,443.729,4769.52872,1.847,10.165,0.709961134365655
60.57,297.0121,16.3056850874163,49,3386.86676,4627.26951,0.635,1.151,0.643248651959139
468.289,253,6.26411965310265,29,375.23473,4512.99154,1.639,13.794,0.803074405940499
5.192,12.03,10.9567703712045,29,2125.02606,4510.48195,12.138,18.913,6.83429488052844
18.187,42,20.1999481444717,30,2561.88305,4433.94945,17.57,23.534,0.81213816315311
688.971,476.0003,7.23194464477791,49,538.36108,4381.24756,0.676,6.606,0.505151070489807
69.543,187.92,11.7285342739708,37,1486.82908,4360.887359,7.585,15.161,3.8076454070535
452.073,20,9.53983504722325,33,370.20218,4334.19318,4.617,32.041,2.01772962967008
20.816,154.2,5.70455873242127,12,723.61251,4268.61816,12.59,25.289,3.29893128693432
22.162,21.63648,9.57483601687328,29,2094.46082,4196.844679,4.924,8.587,3.29969144408303
7.505,63.1062,21.5595451208846,22,2131.6595,4050.45743,15.51,20.358,8.57801980508781
21.848,177.29857,10.2963159949374,16,1506.89059,3995.19945,8.397,15.225,4.28839466325017
253.185,63.006,12.4508829200968,13,724.58592,3980.432889,6.047,23.894,3.59068615973147
491.142,160.55,7.55007965557884,18,417.27888,3972.67958,6.377,47.137,3.71370545248392
69.269,60.10122,0.831753239186732,3,180.68665,3921.67033,1.03,7.594,0.271194391803964
36.181,3.00506,13.6023969799028,39,1367.81406,3861.53117,12.273,24.28,6.36063666311865
0.879,99.06,0.599181719449556,5,525.65568,3649.50689,0.775,2.078,0.224567495711395
192.923,60.2,4.00307916440146,4,272.11749,3578.28247,1.521,8.941,0.446047513962753
192.876,114.436,1.63222376992958,11,368.12132,3570.27334,0.474,2.651,0.113183733356748
