"","inflacao","pib_per_capita","crescimento_pib","emprego"
"United Arab Emirates",1.96887556815799,40325.3820005643,0.790400387794406,97.5369999408722
"Afghanistan",4.9759515055383,556.302138508508,2.66529204636834,98.4409999847412
"Albania",1.99392810482024,4532.88919785143,3.83661965642376,86.25
"Armenia",0.969553268816231,3914.5012684128,7.5000000006513,82.1730003356934
"Angola",31.6916861406481,4095.81294155857,-0.147207426247036,92.8610000610352
"Austria",2.08126858275521,47380.8296365374,2.55088075977935,94.5009999275208
"Australia",1.94864740944522,54093.6021908944,2.34258228676258,94.4060001373291
"Azerbaijan",12.9048912053168,4147.08971569171,-0.282011196847733,95
"Bosnia and Herzegovina",1.16881263730923,5394.59122017677,3.16355948711239,79.5300006866455
"Barbados",4.66018463955997,16327.6072290756,1,90.5129995346069
"Bangladesh",5.70207015717245,1563.99408178663,7.28418409195113,95.6279997825623
"Belgium",2.12597086002609,43507.2382031326,1.73438965580127,92.9140000343323
"Burkina Faso",0.361247096520767,642.040426480339,6.30209605892456,93.9850001335144
"Bulgaria",2.06435506312528,8228.0115697265,3.81124815844305,93.8359999656677
"Bahrain",1.3873437602251,23715.4827473156,3.80352226237173,99.0529999732971
"Burundi",16.0525353030392,293.009061990821,0.500009998779461,98.49899995327
"Benin",0.0790708429996021,827.429810110093,5.83782330470896,97.8199999332428
"Brunei Darussalam",-0.171311525411196,28572.1094155048,1.32875142237043,90.6840000152588
"Bolivia",2.8227580554717,3351.12405268555,4.19520936722277,96.7669999599457
"Brazil",3.44636783234738,9880.94654326324,1.06386125924512,87.1730003356934
"Bahamas, The",1.51820700736153,31857.890145929,1.43719133908084,87.6190004348755
"Bhutan",3.85824973148717,3390.71407484432,4.62910139072935,97.8299999237061
"Botswana",3.30828076768219,7893.67593323318,2.90753491024356,82.3689994812012
"Belarus",6.03183725177786,5761.74712023007,2.53218350023035,94.3499999046326
"Canada",1.5968841285297,45069.9272544324,2.98503335102778,93.6599998474121
"Congo, Rep.",0.450063823285575,1702.571349341,-3.10000000000001,89.8439998626709
"Switzerland",0.533795988132759,80333.4449447719,1.61669215479019,95.2030000686646
"Cote d'Ivoire",0.685881065304644,1557.18294760465,7.70208942212352,97.5120000839233
"Chile",2.18271846868523,15037.3501089968,1.27918334145851,93.0419998168945
"Cameroon",0.640409149881981,1421.58749243688,3.54908731821561,96.6410000324249
"China",1.59313725490194,8759.04157775098,6.75700761091511,95.5999999046326
"Colombia",4.3121410323773,6375.93206285311,1.35132667631581,91.1280002593994
"Costa Rica",1.62572330389916,11752.5436017285,3.3971817012296,91.8579998016357
"Cabo Verde",0.783900980951342,3295.34110553408,4.01325724418756,87.7589998245239
"Cyprus",0.531766496174534,25760.7627043417,4.46887904445133,88.9479999542236
"Czech Republic",2.45053398460138,20379.8960396417,4.35260351822929,97.1099998950958
"Germany",1.50949655801608,44681.0825806359,2.15710947029994,96.2539999485016
"Djibouti",0.568112117084679,1953.9035019746,4.09026362770027,88.8360004425049
"Denmark",1.14713216957606,57218.851961927,2.26236630931515,94.2569999694824
"Dominican Republic",3.27955694678548,7222.55404357246,4.55181513818401,94.1680002212524
"Algeria",5.59111590961673,4048.28525822561,1.60000000052275,88.003999710083
"Ecuador",0.417335588666803,6213.50127649921,2.36838652633651,96.1640000343323
"Estonia",3.41723549488057,20200.3755920409,4.85668685644394,94.2399997711182
"Egypt, Arab Rep.",29.5019327320389,2440.51017311107,4.18122099994775,88.2299995422363
"Spain",1.95608333333334,28208.2610532181,2.97918240061863,82.7759990692139
"Ethiopia",9.84825024208742,768.010416339934,9.5038585710959,98.1900000572205
"Finland",0.754015047084413,45804.6542078846,2.65252953021526,91.3599996566772
"Fiji",3.35108743897027,6006.36062164463,5.17974352639772,95.856999874115
"France",1.03228275064674,38679.1271482419,2.2602027222695,90.6029996871948
